"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"STB","Spring",1.96,25.8,1.88,26.4,"0.3","34.644","0","34.42"
"STB","Summer",3,33,10,34,"0","32.63505","0","36.6"
"STB","Winter",0.4,12.7,-0.4,12.9,"0.2","36","0.2","35.43703"
"SUF","Fall",7,32.5,7.6,32.5,"0","41.5","0","37"
"SUF","Spring",1.8,38.1,1.93,33.7,"0","36.78","0","36.64"
"SUF","Summer",5.3,33,2.4,34,"0","36.9","0","37"
"SUF","Winter",1.74,19.64,0.9,19.75,"1.5","36.365","2","36.466"
"TAU","Fall",7,25.89999962,7,27,"21.5","35.13941","14.3","35"
"TAU","Spring",1,22.42000008,1,23.5,"15","35.31","13.3","35.28"
"TAU","Summer",6,30.6,7,32,"17","34","8","36.6"
"TAU","Winter",-0.5,11.2,-0.35688,12,"9.1","34.86187","6.6","34.04004"
"TYL","Fall",7.95,17.95,18.06,28.8,"33.118","36.359","32.057","36.255"
"TYL","Spring",8.91,13.83,6.64,20.3,"33.941","35.704","32.765","36.43"
"TYL","Winter",9.76,15.16,9.52,18.82,"34.265","35.965","34.127","36.404"
"WHK","Fall",3.9,20.7,6.7,29.13,"20.25","38.78","0.05","36.187"
"WHK","Spring",1.3,18.76000023,0.6,23.4,"24.82","35.7","20.85","36.355"
"WHK","Summer",3.35,25.3,4.7,27.9,"26.19","35.085","23.7","33.87"
"WHK","Winter",1.6,14.01,1.5,19.43,"31.5","35.743","27.3","36.389"
"WIF","Fall",4.5,25.79000092,4,32.1,"11.6","38.78","0","36"
"WIF","Spring",0.1,22.70000076,0.1,27.4,"14","35.459","4","35"
"WIF","Summer",4.3,28.15999985,4.7,32.3,"5.7","36","2.3","36"
"WIF","Winter",-1.4,18.9,-1.4,12.5,"7","36.19844","5","35.43703"
"WOL","Fall",3.2,14.8,6.7,18.5,"31.935","35.051","30.345","33.395"
"WOL","Spring",1.5,11.23,1.5,11.9,"31.294","35.048","28.3","33.877"
"WOL","Summer",3.63,10,5.5,20.2,"32.191","34.692","30.105","32.33"
"WOL","Winter",4.7,10.1,3.57,9,"32.112","33.603","31.815","32.08"
"WPF","Fall",5,27.7,6.9,28.87,"0.5","41.5","0.05","36.7"
"WPF","Spring",-0.9,38.1,-0.9,29.4,"2","36.78","0","36.6"
"WPF","Summer",4.4,30.09,4.7,32,"3.6","36.6","4","36.94"
"WPF","Winter",-1.2,18.9,-0.9,14.8,"7","36.19844","5","35.43703"
"WSK","Fall",4.5,23.6,7.6,24.3,"16","35.764","11","36.187"
"WSK","Spring",1.27,18.91,0.7,19.79999924,"15","36.431","14","36.43"
"WSK","Summer",4.5,23.10000038,4.8,24.41538,"22.77402","35","19.7","32.6749"
"WSK","Winter",-1.4,13.8,-1.4,12.6,"11.58998","36.19844","14.81449","35.43703"
"WTF","Fall",3.2,19.1,6.7,26.73,"20.25","35.894","11","35.925"
"WTF","Spring",1.5,15.3,1.5,21.2,"26.29","35.772","18","36.405"
"WTF","Summer",3.35,26.1,2,26.5,"25.9","34.804","25.4","33.87"
"WTF","Winter",2.09,14.46,2,19.47,"20.45795","35.854","23.52742","36.478"
"YTF","Fall",4.5,19.6,8.1,25.77,"20.25","35.786","11.2","35.764"
"YTF","Spring",1.3,16.1,0.7,16.75,"26.29","35.645","15.925","35.157"
"YTF","Summer",4.58,16.2,4.9,27,"30.51","33.4","19.7","32.126"
"YTF","Winter",-1,12.8,-0.6,11.01,"30","35.1","28.5","34.823"
