"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"SDF","Spring",6.39,9.47,5.33,20.74,"22.29","32.171","29.801","35.501"
"SDF","Summer",10.38,20.44,7.39,16.1,"29.15","31.455","24.8037","32.683"
"SDF","Winter",6.24,8.37,5.92,13.75,"32.683","33.786","31.772","35.726"
"SHK","Fall",5.67,29.4,3.83,28.51,"-1e+10","36.133","-1e+10","36.36"
"SHK","Spring",1.087,22.37,2,20.14,"-1e+10","36.561","-1e+10","36.517"
"SHK","Summer",7.11,26.88,-1e+10,22.46,"26.238","33.34","26.8188","35.49"
"SHK","Winter",1.55,18.78,1.45,15.9,"-1e+10","36.325","-1e+10","36.043"
"SK","Fall",5.67,29.76,3.83,28.28,"-1e+10","36.359","-1e+10","36.524"
"SK","Spring",1.087,24.41,2.16,22.55,"-1e+10","36.579","-1e+10","36.554"
"SK","Summer",7.11,27.46,-1e+10,23.45,"0.0669","33.59","0.0697","35.2"
"SK","Winter",2.37,19.75,1.76,17.76,"-1e+10","36.466","31.436","36.342"
"SUF","Fall",10.13,29.27,6.2,28.22,"-1e+10","36.34","-1e+10","36.459"
"SUF","Spring",2.75,23.21,2.1,22.16,"-1e+10","36.606","9.631","36.741"
"SUF","Summer",10.101,27.37,-1e+10,26.63,"0.0669","34.55","0.0697","36.21"
"SUF","Winter",1.55,19.4,1.74,19.64,"-1e+10","36.466","-1e+10","36.361"
"TAU","Fall",10.61,23.67,6.98,23.37,"-1e+10","32.726","-1e+10","33.346"
"TAU","Spring",2.51,14.8081,2.03,14.133,"11.7212","32.508","25.5215","34.355"
"TAU","Summer",8.842,27.37,3.973,26.55,"26.238","34.55","26.733","36.21"
"TAU","Winter",3.01,7.96,1.61,8.91,"30.83","33.582","30.44","33.818"
"TYL","Fall",22.08,27.16,7.68,22.66,"32.245","36.113","32.829","36.459"
"TYL","Spring",6.42,20.12,8.91,13.83,"32.903","36.43","33.941","35.719"
"TYL","Winter",9.91,18.25,11.14,14.01,"34.276","36.362","34.651","35.62"
"WHK","Fall",8.15,29.4,4.3,22.61,"-1e+10","35.862","30.904","36.348"
"WHK","Spring",1.17,19.19,2.54,18.79,"-1e+10","36.361","-1e+10","36.148"
"WHK","Summer",7.11,23.95,3.35,15.67,"30.5453","32.537","31.125","35.085"
"WHK","Winter",2.99,18.84,3.59,14.01,"-1e+10","36.409","-1e+10","35.743"
"WIF","Fall",8.015,24.01,3.83,23.12,"-1e+10","35.209","-1e+10","35.44"
"WIF","Spring",1.64,15.811,1.23,14.133,"-1e+10","33.923","23.8486","35.489"
"WIF","Summer",7.11,25.9152,-1e+10,24.26,"9.8712","32.94","23.8486","37.3033"
"WIF","Winter",1.3,9.59,1.36,11.25,"-1e+10","34.019","29.941","34.836"
"WPF","Fall",9.18,28.58,5.34,26.7,"-1e+10","35.772","-1e+10","35.331"
"WPF","Spring",1.17,17.804,1.71,22.55,"-1e+10","35.921","9.631","36.3209"
"WPF","Summer",7.11,25.8,-1e+10,26.4927,"0.0669","32.94","0.0697","36.11"
"WPF","Winter",1.21,10.36,1.36,12.27,"-1e+10","35.281","-1e+10","35.282"
"WSK","Fall",8.7,23.77,4.74,21.88,"-1e+10","35.874","-1e+10","35.847"
"WSK","Spring",1.087,20.0199,1.27,18.91,"-1e+10","36.3064","-1e+10","36.431"
"WSK","Summer",7.11,21.244,3.973,19.42,"28.796","32.532","29.095","35.031"
"WSK","Winter",1.21,12.6,1.36,13.73,"-1e+10","35.273","-1e+10","35.637"
"WTF","Fall",5.67,26.41,3.83,18.53,"-1e+10","35.961","31.536","35.894"
"WTF","Spring",2.31,20.0199,2.32,14.26,"-1e+10","36.406","30.691","35.772"
"WTF","Summer",7.11,20.24,3.35,13.578,"30.57","32.537","31.639","35.031"
"WTF","Winter",1.55,18.84,2.09,14.8,"-1e+10","36.409","-1e+10","35.845"
"YTF","Fall",8.83,25.23,4.3,20.02,"-1e+10","35.772","31.041","35.76"
"YTF","Spring",1.087,14.16,1.98,13.35,"-1e+10","35.328","-1e+10","35.645"
"YTF","Summer",8.842,22.99,-1e+10,18.75,"30.455","32.94","31.125","35.031"
"YTF","Winter",1.21,9.24,1.44,13.03,"-1e+10","34.067","-1e+10","35.637"
