"Screened.2nd.time","ActiveScreener.Id","Title","Authors","Q1","Q2","Q3","Year","Study.Type","Application","Effect.Type","Common.Name","Scientific.Name","Age.Group","Location","Priority","Notes"
"Joe",13975908,"Bioenergetic analysis of the effects of temperature and prey availability on growth and condition of northern cod ( 
<i>Gadus morhua</i>)","Krohn, M., Reidy, S., Kerr, S. ","Temperature","Yes, include the reference","Atlantic cod (Gadus morhua)",1997,"Model","Wild","Habitat","atlantic cod","Gadus morhua","Adult","Canada","medium","northern cod stocks"
"Joe",13975887,"Atmosphere–Ocean Coupling and Atlantic Cod Migrations: Effect of Wind-Forced Variations in Sea Temperatures and Currents or Nearshore Distributions and Catch Rates of Gadus morhua","Rose, George A., Leggett, William C. ","Temperature","Yes, include the reference","Atlantic cod (Gadus morhua)",1988,"Observational","Wild","Habitat","atlantic cod","Gadus morhua","Adult","Canada","medium","observed thermal habitat"
"Joe",13975877,"Associations between Atlantic cod (Gadus morhua) and hydrographic variables: Implications for the management of the 4VsW cod stock","Smith, S. J., Page, F. H. ","Temperature, Salinity","Yes, include the reference","Atlantic cod (Gadus morhua)",1996,"Observational","Wild","Habitat","atlantic cod","Gadus morhua","Adult","Canada","high","observed ranges"
"Joe",13975873,"Assessment of potential impact of the Clinch River Breeder Reactor Plant thermal effluent on the Watts Bar Reservoir striped bass population","Heuer, J. H., McIntosh, D., Ostrowski, P.  et al.","Temperature","Yes, include the reference","Striped bass (Morone saxatilis)",1983,"Observational","Wild","Survival","striped bass","Morone saxatilis","Adult","Other","medium","sites existing work on thermal tolerance but not a part of this study"
"Joe",13975853,"Acute Toxicity of Salt Cavern Brine on Early Life Stages of Striped Bass ( 
<i>Morone saxatilis</i>)","Manríquez-Hernández, J., Breau, H. M., Duston, J. ","Salinity","Yes, include the reference","Striped bass (Morone saxatilis)",2020,"Experimental","Laboratory","Survival","striped bass","Morone saxatilis","Adult","Canada","high","acute salinity tolerance"
"Joe",13975849,"The acute and incremental thermal tolerance of Atlantic cod ( 
<i>Gadus morhua</i>) families under normoxia and mild hypoxia","Zanuzzo, F. S., Bailey, J. A., Garber, A. F.  et al.","Temperature","Yes, include the reference","Atlantic cod (Gadus morhua)",2019,"Experimental","Aquaculture","Survival","atlantic cod","Gadus morhua","Adult","Other","high","upper thermal tolerance"
"Joe",13975843,"ACCLIMATION AND REARING OF STRIPED BASS LARVAE IN SEA-WATER","Lal, K., Lasker, R., Kuljis, A. ","Salinity","Yes, include the reference","Striped bass (Morone saxatilis)",1977,"Experimental","Laboratory","Survival","striped bass"," Morone saxatilis","Larval","Other","medium","DUPLICATE"
"Joe",13975842,"Acclimation and rearing of striped bass larvae in sea water","Lal, K., Lasker, R., Kuljis, A. ","Salinity","Yes, include the reference","Striped bass (Morone saxatilis)",1977,"Experimental","Laboratory","Survival","striped bass"," Morone saxatilis","Larval","Other","medium","California?"
"Rob",13976866,"Understanding summertime thermal refuge use by adult Atlantic salmon using remote sensing, river temperature monitoring, and acoustic telemetry","Frechette, Danielle M., Dugdale, Stephen J., Dodson, Julian J.  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1999,"Observational","Wild","Survival","atlantic salmon","Salmo salar","Adult","Canada","high","The MS refers to upper limits on Salmon temperature, but refers mostly to how the salmon use the refuge in a river.  Still, it might provide an Upper Limit"
"Rob",13976861,"Ultimate upper lethal temperature of Atlantic salmon Salmo salar L","Garside, E. T. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1973,"Experimental","Wild","Survival","atlantic salmon","Salmo salar","Juvenile","Canada","high","Provides upper thermal limit for juvenile Salmon in a Canadian river"
"Rob",13976847,"TOLERANCE AND RESISTANCE TO THERMAL-STRESS IN JUVENILE ATLANTIC SALMON, SALMO-SALAR","Elliott, J. M. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1991,"Experimental","Wild","Survival","atlantic salmon","Salmo salar","Juvenile","Northeast US","high","Temperature limits"
"Rob",13976549,"Physiological effects of environmentally relevant, multi-day thermal stress on wild juvenile Atlantic salmon (Salmo salar)","Corey, Emily, Linnansaari, Tommi, Cunjak, Richard A.  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2017,"Experimental","Laboratory","Stress","atlantic salmon","Salmo salar","Juvenile","Canada","high",""
"Joe",13976539,"Performance and welfare of Atlantic salmon, Salmo salar L. post?smolts in recirculating aquaculture systems: Importance of salinity and water velocity","Ytrestøyl, Trine, Takle, Harald, Kolarevic, Jelena  et al.","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",2020,"Experimental","Aquaculture","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13976498,"Ocean thermal conditions in the post-smolt nursery of North American Atlantic salmon","Friedland, Kevin D., Reddin, David G., Castonguay, Martin ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2003,"Observational","Wild","Habitat","atlantic salmon","Salmo salar","Juvenile","Northeast US","high",""
"Joe",13976479,"Na,K-ATPase Isoform Switching is Critical for the Development of Salinity Tolerance in Juvenile Atlantic Salmon","McCormick, S. D., Regish, A. M., Christensen, A. K.  et al.","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",2012,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13976472,"Mortality of salmonids cultured at low temperature in sea water","Saunders, Richard L., Muise, Brian C., Henderson, Eugene B. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1975,"Experimental","Aquaculture","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976321,"High temperature events shape the broadscale distribution of juvenile Atlantic salmon ( 
<i>Salmo salar</i>)","Corey, Emily, Linnansaari, Tommi, Cunjak, Richard A. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2023,"Observational","Wild","Habitat","atlantic salmon","Salmo salar","Adult","Canada","high",""
"Joe",13976286,"Gill Ion Transporter Transcript and Protein Abundance during Developmental Increases in Salinity Tolerance of Atlantic salmon Smolts","Christensen, Arne, Regish, Amy, McCormick, Stephen ","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",2015,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13976281,"Genomic arrangement of salinity tolerance QTLs in salmonids: A comparative analysis of Atlantic salmon (Salmo salar) with Arctic charr (Salvelinus alpinus) and rainbow trout (Oncorhynchus mykiss)","Norman, Joseph D., Robinson, Mike, Glebe, Brian  et al.","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",2012,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976280,"The genomic architecture of high temperature tolerance in a year class of Atlantic Salmon","Gonen, S., Benfey, T. J., Garber, A. F. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2024,"Observational","Wild","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976278,"Genetic variation for upper thermal tolerance diminishes within and between populations with increasing acclimation temperature in Atlantic salmon","Debes, P. V., Solberg, M. F., Matre, I. H.  et al.","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2021,"Experimental","Wild","Survival","atlantic salmon","Salmo salar","Adult","Other","high",""
"Joe",13976234,"An experiment on incubation of eggs and rearing of fry of Salmonidae in brackish water","Pavlov, D. A. ","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",1978,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Egg","Other","high",""
"Joe",13976204,"The emerging role of climate in post-smolt growth of Atlantic salmon","Friedland, Kevin D., Chaput, Gerald, MacLean, Julian C. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2005,"Observational","Wild","Survival","atlantic salmon","Salmo salar","Juvenile","Northeast US","high",""
"Joe",13976183,"Effects of temperature on growth and efficiency of yolk utilisation in eggs and pre-feeding larval stages of Atlantic salmon","Ojanguren, A. F., Reyes-Gavilán, F. G., Muñoz, R. R. ","Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",1999,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Egg","Other","high",""
"Joe",13976152,"Effects of ocean acidification on salinity tolerance and seawater growth of Atlantic salmon 
<i>Salmo salar</i> smolts","McCormick, S. D., Regish, A. M. ","Salinity","Yes, include the reference","Atlantic salmon (Salmo salar)",1996,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Juvenile","Other","high",""
"Joe",13976134,"Effects of elevated temperature on osmoregulation and stress responses in Atlantic salmon 
<i>Salmo salar</i> smolts in fresh water and seawater","Vargas-Chacoff, L., Regish, A. M., Weinstock, A.  et al.","Salinity, Temperature","Yes, include the reference","Atlantic salmon (Salmo salar)",2018,"Experimental","Laboratory","Survival","atlantic salmon","Salmo salar","Larval","Other","high",""
