ActiveScreener Id,Time of Screening,Title,Authors,Question,Question.N,List of Reviewers,Answers
13976880,05/20/2024 17:00:00,The value of temperatures close to freezing on the storage of fish,"Castell, C. H., MacCallum, J. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976879,05/30/2024 11:44:17,"The validity of Lophius americanus Val., as a species distinct from Lophius piscatorilts Linn., with notes on the rate of development","Berrill, N. J. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976878,05/29/2024 15:26:44,Validation of species specific otolith chemistry and salinity relationships,"Nelson, T. R., Powers, S. P. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976877,05/29/2024 17:41:54,Validation of reference genes for quantitative RT-qPCR studies of gene expression in Atlantic cod (Gadus morhua l.) during temperature stress,"Aursnes, Ingrid A. S., Rishovd, Anne L., Karlsen, Hans Erik  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976876,05/23/2024 11:47:54,"Using winter flounder growth rates to assess habitat quality across an anthropogenic gradient in Narragansett Bay, Rhode Island","Meng, Lesa, Powell, J. Christopher, Taplin, Bryan ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976875,05/21/2024 13:14:53,"Using Stable Isotopic Data to Resolve Rate and Duration of Growth throughout Ontogeny: An Example from the Surf Clam, Spisula solidissima","Ivany, Linda C., Wilkinson, Bruce H., Jones, Douglas S. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"", ""Salinity"""
13976874,05/28/2024 17:31:56,Use of satellite tags to reveal the movements of spiny dogfish Squalus acanthias in the western North Atlantic Ocean,"Sulikowski, James A., Galuardi, Benjamin, Bubley, Walter J.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976873,05/20/2024 14:47:16,The use of RNA:DNA ratios to predict growth limitation of juvenile summer flounder (Paralichthys dentatus) from Delaware and North Carolina estuaries,"Malloy, K. D., Targett, Timothy E. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976872,05/29/2024 12:13:55,Use of a growth model to assess the suboptimal growth of Atlantic salmon parr in a subarctic river,"Sánchez?Hernández, Javier, Gabler, Heidi?Marie, Elliott, J. Malcolm  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976871,05/20/2024 14:12:34,"Upper Thermal Tolerance and Heat Shock Protein Response of Juvenile American Shad ( 
<i>Alosa sapidissima</i>)","Bayse, S. M., Shaughnessy, C. A., Regish, A. M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976870,05/29/2024 13:00:42,UPPER TEMPERATURE-THRESHOLD IN THIS YEAR CODFISH AND POLLACHIUS VIRENS BROODS AS DEPENDENT ON THEIR ADAPTATION TEMPERATURE,,Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976869,05/21/2024 11:22:46,"Upper Temperature Tolerance of Spot, Leiostomus xanthurus , From the Cape Fear River Estuary, North Carolina","Hodson, R. G., Fechhelm, R. G., Monroe, R. J. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976868,05/24/2024 12:48:40,"The upper temperature and hypoxia limits of Atlantic salmon ( 
<i>Salmo salar</i>) depend greatly on the method utilized","Sandrelli, R. M., Gamperl, A. K. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976867,05/24/2024 11:29:55,Upper and Lower Temperature Tolerance Limits for Juvenile Red Drums from Texas and South Carolina,"Procarione, Lynne S., King, Timothy L. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976866,05/29/2024 13:58:15,"Understanding summertime thermal refuge use by adult Atlantic salmon using remote sensing, river temperature monitoring, and acoustic telemetry","Frechette, Danielle M., Dugdale, Stephen J., Dodson, Julian J.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976865,05/17/2024 17:46:46,Understanding patterns of bivalve vulnerability and resilience to ocean acidification,"Cameron, Louise P. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976864,05/30/2024 11:52:12,ULTRASTRUCTURE OF PANCREATIC B-CELLS OF ATLANTIC SALMON (SALMO-SALAR) DURING SMOLTIFICATION AND SEAWATER ADAPTATION,"Carranza, M. L., Allen, J. L., Bradley, T. M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976863,05/20/2024 14:50:41,Ultrastructure of pancreatic B-cells of Atlantic salmon (Salmo salar) during smoltification and seawater adaptation,"Carranza, M. L., Allen, J. L., Bradley, T. M. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976862,05/20/2024 14:41:23,Ultrastructural changes in the muscle tissue of Clupea harengus L. larvae induced by acid pH,"Bahgat, F. J., King, P. E., Shackley, S. E. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""None"""
13976861,05/28/2024 16:26:18,Ultimate upper lethal temperature of Atlantic salmon Salmo salar L,"Garside, E. T. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976860,05/23/2024 13:55:39,Triploidy leads to a mismatch of smoltification biomarkers in the gill and differences in the optimal salinity for post-smolt growth in Atlantic salmon,"de Fonseka, R., Fjelldal, P. G., Sambraus, F.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976859,05/29/2024 17:12:36,"The Transcriptomic Responses of Atlantic Salmon (Salmo salar) to High Temperature Stress Alone, and in Combination with Moderate Hypoxia","Beemelmanns, Anne, Zanuzzo, Fábio Sabbadin, Xue, Xi  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976858,05/29/2024 15:45:13,"The transcriptomic responses of Atlantic salmon ( 
<i>Salmo salar</i>) to high temperature stress alone, and in combination with moderate hypoxia","Beemelmanns, A., Zanuzzo, F. S., Xue, X.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976857,05/17/2024 18:35:55,"Transcriptomic Response of the Atlantic Surfclam ( 
<i>Spisula solidissima</i>) to Acute Heat Stress","Acquafredda, M., Guo, X. M., Munroe, D. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976856,05/29/2024 17:15:17,Transcriptomic imprints of adaptation to fresh water: parallel evolution of osmoregulatory gene expression in the Alewife,"Velotta, J. P., Wegrzyn, J. L., Ginzburg, S.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976855,05/21/2024 11:24:14,Toxicity of trace element and salinity mixtures to striped bass (Morone saxatilis) and Daphnia magna,"Dwyer, F. J., Burch, S. A., Ingersoll, C. G.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Salinity"""
13976854,05/29/2024 11:50:51,"TOXICITY OF CHLORINE TO JUVENILE SPOT, LEIOSTOMUS-XANTHURUS","Middaugh, D. P., Crane, A. M., Couch, J. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976853,05/30/2024 12:09:19,Toxicity Effects of Chemically-Dispersed Crude Oil on Fish,"Lee, Kenneth, King, Thomas, Robinson, Brian  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976852,05/29/2024 15:28:08,Total and inorganic arsenic in mid?atlantic marine fish and shellfish and implications for fish advisories,"Greene, Richard, Crecelius, Eric ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""None"""
13976851,05/17/2024 14:26:43,Top-down and bottom-up forces interact at thermal range extremes on American lobster,"Boudreau, Stephanie A., Anderson, Sean C., Worm, Boris ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976850,05/17/2024 20:36:18,"Tolerance, growth and haloplasticity of the Atlantic wolffish ( 
<i>Anarhichas lupus</i>) exposed to various salinities","Le François, N. R., Lamarre, S. G., Blier, P. U. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976849,05/17/2024 20:27:37,"Tolerance of the giant sea scallop, Placopecten magellanicus, to low salinity","Bergman, C., Parsons, J., Couturier, C. A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976848,05/29/2024 13:02:20,Tolerance of Anguilla rostrata from Central America to Several Ecological Factors,"Xue-hao, Chen ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976847,05/28/2024 17:17:35,"TOLERANCE AND RESISTANCE TO THERMAL-STRESS IN JUVENILE ATLANTIC SALMON, SALMO-SALAR","Elliott, J. M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976846,05/20/2024 17:00:35,"Tolerance and growth of juvenile common wolffish ( 
<i>Anarhichas lupus</i>) under low salinity and hypoxic conditions:: Preliminary results","Le François, N. R., Dutil, J. D., Blier, P.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Salinity"""
13976845,05/21/2024 11:27:17,Title not available for this record,"Moller, H. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"", ""Salinity"""
13976844,05/23/2024 12:30:47,"Tissue-specific activation of AMP-activated protein kinase by heat stress in the lobster, Homarus americanus","Podolski, Stephanie M., Jost, Jennifer A., Frederich, Markus ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976843,05/29/2024 12:57:55,Timing and frequency of high temperature events bend the onset of behavioural thermoregulation in Atlantic salmon (Salmo salar),"O’Sullivan, Antóin M., Corey, Emily M., Collet, Elise N.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976842,05/30/2024 12:00:16,TIME? TEMPERATURE TOLERANCE AND PHYSICAL?CHEMICAL QUALITY TESTS FOR FROZEN RED HAKE,"Licciardello, J. J., Ravesi, E. M., Lundstrom, R. C.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976841,05/17/2024 22:10:22,Tidal Influence on Movements and on Daily Cycle of Activity of American Eels,"Dutil, J. ?D, Giroux, A., Kemp, A.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976840,05/20/2024 14:12:59,Threshold temperatures for performance and survival of American lobster larvae: A review of current knowledge and implications to modeling impacts of climate change,"Quinn, Brady K. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976839,05/29/2024 13:52:50,"THRESHOLD OXYGEN CONCENTRATION IN WATER, ENDURABLE TO FISHES AT VARIOUS TEMPERATURES","Privolnev, T. I. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976838,05/20/2024 14:12:48,Thermoregulation in wet Shetland ponies,"Booth, M. E., Pearson, R. A., Cuddeford, D. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976837,05/20/2024 14:09:22,Thermoprotection of a functional epithelium: heat stress effects on transepithelial transport by flounder renal tubule in primary monolayer culture,"Brown, M. A., Upender, R. P., Hightower, Lawrence E.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976836,05/30/2024 11:44:10,Thermophysical properties of silver hake and mackerel surimi at cooking temperatures,"Belibagli, K. B., Speers, R. A., Paulson, A. T. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976835,05/20/2024 14:57:08,"Thermohaline effect on growth, thermal tolerance and nucleic acids in red drum juveniles (Sciaenops ocellatus) under laboratory conditions","Chung, K. S., Holt, G. J., Arnold, C. R. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"", ""Salinity"""
13976834,05/29/2024 12:03:26,Thermo- and photoregulatory swimming behaviour of caged Atlantic salmon: Implications for photoperiod management and fish welfare,"Oppedal, F., Juell, J. E., Johansson, D. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976833,05/17/2024 17:47:26,Thermal windows supporting survival of the earliest life stages of Baltic herring (Clupea harengus),"Peck, Myron A., Kanstinger, Philipp, Holste, Linda  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976832,05/17/2024 21:43:12,Thermal Tolerance of the Alewife,"McCauley, Robert W., Binkowski, Fred P. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976831,05/24/2024 11:53:34,"Thermal Tolerance of Juvenile New England Chain Catsharks, Scyliorhinus Retifer Garman, 1881 (Chondrichthyes, Carcharhiniformes, Scyliorhinidae)","Lupton, Cynthia E. M., Bennett, Wayne A. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976830,05/24/2024 12:24:25,"Thermal tolerance of a northern population of striped bass 
<i>Morone saxatilis</i>","Cook, A. M., Duston, J., Bradford, R. G. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976829,05/20/2024 19:47:47,Thermal tolerance by embryos and larvae of the surf clam Spisula solidissima,"Roosenburg, W. H., Wright, D. A., Castagna, M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976828,05/17/2024 20:26:50,Thermal Tolerance and Temperature?Dependent Feeding Behavior of F1 Gulf and Atlantic Coast Striped Bass Strains,"Kenter, Linas W., Berlinsky, David L. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976827,05/21/2024 10:57:44,Thermal stress alters expression of genes involved in one carbon and DNA methylation pathways in Atlantic cod embryos,"Skjaerven, Kaja H., Hamre, Kristin, Penglase, Samuel  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976826,05/24/2024 11:55:45,"Thermal sensitivity of metabolic rates and swimming performance in two latitudinally separated populations of cod, Gadus morhua L","Sylvestre, Eve-Lyne, Lapointe, Dominique, Dutil, Jean-Denis  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976825,05/24/2024 12:47:54,Thermal sensitivity of gill Na+/K+ ATPase activity in juvenile red drum,"Hansen, Deena A., Williard, Amanda S., Scharf, Frederick S. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976824,05/21/2024 11:37:58,Thermal sensitivity of escape response performance by the scallop Placopecten magellanicus: Impact of environmental history,"Guderley, H., Labbe-Giguere, S., Janssoone, X.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976823,05/29/2024 12:14:24,Thermal Range and Physiological Tolerance Mechanisms in Two Shark Species from the Northwest Atlantic,"Bockus, Abigail B., LaBreck, Christopher J., Camberg, Jodi L.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976822,05/24/2024 12:23:50,"Thermal plasticity in farmed, wild and hybrid Atlantic salmon during early development: has domestication caused divergence in low temperature tolerance?","Solberg, M. F., Dyrhovden, L., Matre, I. H.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976821,05/30/2024 11:43:16,Thermal phase transitions and mechanical characterization of Atlantic cod muscles at low and ultra-low temperatures,"Tolstorebrov, I., Eikevik, T. M., Bantle, M. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976820,05/20/2024 14:56:41,"Thermal performance of juvenile Atlantic Salmon, 
<i>Salmo</i> 
<i>salar</i> L","Jonsson, B., Forseth, T., Jensen, A. J.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976819,05/23/2024 13:56:17,"Thermal performance of juvenile Atlantic salmon ( 
<i>Salmo salar</i> L.) of Baltic Sea origin","Larsson, S., Berglund, I. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976818,05/17/2024 21:56:03,"Thermal Optima for the Culture of Juvenile Summer Flounder, Paralichthys dentatus","Gaylord, T. Gibson, Schwarz, Michael H., Cool, Ryan W.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976817,05/21/2024 11:21:50,"Thermal niche of Atlantic cod Gadus morhua: limits, tolerance and optima","Righton, David, Andersen, Ken Haste, Neat, Francis  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976816,05/29/2024 13:53:31,Thermal Modulation of Monoamine Levels Influence Fish Stress and Welfare,"Sanhueza, Nataly, Donoso, Andrea, Aguilar, Andrea  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976815,05/28/2024 17:14:07,THERMAL INACTIVATION OF CHLORTETRACYCLINE IN VARIOUS MEAT MENSTRUA,"Parks, T. R., Elbisi, H. M., Esselen, W. B. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976814,05/30/2024 12:01:04,Thermal inactivation mode of myofibrillar Ca-ATPase of kuruma prawn Marusupenaeus japonicus,"Sasaki, Takayuki, Matsukawa, Masahito, Ooizumi, Tooru ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976813,05/20/2024 14:07:28,"Thermal habitat of adult Atlantic salmon 
<i>Salmo salar</i> in a warming ocean","Strom, J. F., Thorstad, E. B., Rikardsen, A. H. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976812,05/17/2024 15:37:05,"Thermal habitat for 0-group fish in the Barents Sea; how climate variability impacts their density, length, and geographic distribution","Eriksen, Elena, Ingvaldsen, Randi, Stiansen, Jan Erik  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976811,05/23/2024 13:56:48,"Thermal effects on growth and time to starvation during the yolk-sac larval period of Atlantic mackerel 
<i>Scomber scombrus</i> L","Mendiola, D., Ibaibarriaga, L., Alvarez, P. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976810,05/30/2024 12:00:56,"Thermal Effects on Fast Skeletal Myosins from Alaska Pollock, White Croaker, and Rabbit in Relation to Gel Formation","Fukushima, H., Satoh, Y., Nakaya, M.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976809,05/20/2024 17:05:43,Thermal effects of power plant entrainment on survival of larval fishes: a laboratory assessment,"Schubel, J. R., Smith, C. F., Koo, T. S. Y. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976808,05/30/2024 11:50:40,Thermal effects,"Floyd, Mary, Cravens, Joe Bob ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976807,05/29/2024 13:50:11,THERMAL DESTRUCTION OF CHONDROITIN SULPHATE ISOLATED FROM BARENTS SEA HYDROBIONTS,"Kuchina, Yuliya A., Novikov, Vitaliy Yu, Konovalova, I. N.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976806,05/28/2024 16:25:35,Thermal Denaturation and Aggregation of Actomyosin from Atlantic Croaker,"Liu, Y. M., Lin, T. S., Lanier, Tyre C. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976805,05/20/2024 14:50:57,Thermal biology and swimming performance of Atlantic cod (Gadus morhua) and haddock (Melanogrammus aeglefinus),"Norin, Tommy, Canada, Paula, Bailey, Jason A.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976804,05/24/2024 12:56:32,Thermal acclimation in fish: conservative and labile properties of swimming muscle,"Guderley, Helga, Blier, Pierre ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976803,05/17/2024 22:08:04,"Thermal acclimation and stress in the American lobster, Homarus americanus: equivalent temperature shifts elicit unique gene expression patterns for molecular chaperones and polyubiquitin","Spees, Jeffrey L., Chang, Sharon A., Snyder, Mark J.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976802,05/29/2024 12:07:06,Temporal and spatial variation in habitat characteristics of tilefish (Lopholatilus chamaeleonticeps) off the east coast of Florida,"Able, K. W., Grimes, C. B., Jones, R. S.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976801,05/20/2024 15:00:05,"Temperature, salinity tolerance, and buoyancy during early development and starvation of Clyde and North Sea herring, cod, and flounder larvae","Yin, M. C., Blaxter, J. H. S. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"", ""Salinity"""
13976800,05/29/2024 15:32:13,"Temperature, hypoxia, and mycobacteriosis: effects on adult striped bass 
<i>Morone saxatilis</i> metabolic performance","Lapointe, D., Vogelbein, W. K., Fabrizio, M. C.  et al.",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""Temperature"""
13976799,05/29/2024 12:04:04,Temperature?based targeting in a multispecies fishery under climate change,"Dunn, Daniel C., Moxley, Jerry H., Halpin, Patrick N. ",Which Environmental Thresholds are in the paper,1,"Caracappa, Joseph","""None"""
13976798,05/24/2024 12:27:49,Temperature?adaptive differences between the M4 lactate dehydrogenases of stenothermal and eurythermal sciaenid fishes,"Coppes, Zulema L., Somero, George N. ",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
13976797,05/24/2024 12:43:32,Temperature-related loss of smolt characteristics in Atlantic salmon (Salmo salar) in the wild,"McCormick, S. D., Cunjak, R. A., Dempson, B.  et al.",Which Environmental Thresholds are in the paper,1,"Gamble, Robert","""Temperature"""
