"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"FDE","Summer",5.85,24.94985,3.63,22.12113,"8.5465","32.367","21.6008","34.114"
"FDE","Winter",0.88,12.06,1.44,14.94,"-1e+10","35.072","30.18","35.771"
"HAD","Fall",8.88,27.59,4.64,18.58,"-1e+10","35.819","-1e+10","35.646"
"HAD","Spring",1.17,19.16,2.69,13.64,"-1e+10","36.089","-1e+10","35.568"
"HAD","Summer",10.47,19.74,4.22,9,"30.603","32.366","31.551","35.008"
"HAD","Winter",1.55,12.39,3.03,12.81,"-1e+10","35.169","32.046","35.402"
"HAL","Fall",9.43,16.27,5.65,13.61,"31.065","33.64","31.715","35.001"
"HAL","Spring",1.17,11.63,2.55,9.6,"-1e+10","33.298","31.691","34.556"
"HAL","Summer",Inf,-Inf,6.47,6.65,"NA","NA","32.352","32.403"
"HAL","Winter",5.98,5.98,5.57,7.91,"32.044","32.044","32.376","33.603"
"HER","Fall",8.7,25.16,4.41,19.9,"-1e+10","34.55","31.031","35.241"
"HER","Spring",1.66,13.17,1.23,14.36,"-1e+10","35.393","-1e+10","35.645"
"HER","Summer",5.85,20.97,3.35,20.8659,"30.176","32.367","30.497","34.818"
"HER","Winter",0.88,9.76,1.44,13.16,"-1e+10","34.199","-1e+10","35.128"
"LSK","Fall",9.46,28.36,4.72,23.45,"-1e+10","35.819","-1e+10","35.894"
"LSK","Spring",1.17,19.16,1.71,16.27,"-1e+10","36.114","-1e+10","35.73"
"LSK","Summer",11.33,25.05,4.6,21.75,"26.213","31.73","27.4235","33.708"
"LSK","Winter",0.88,14.92,0.32,15.72,"-1e+10","35.816","-1e+10","35.854"
"MAK","Fall",8.7,23.42,4.95,22.53,"-1e+10","34.678","30.359","35.728"
"MAK","Spring",1.21,17.02,2.48,14.66,"-1e+10","36.031","-1e+10","35.838"
"MAK","Summer",13.59,22.04,4.22,20.66,"29.22","31.805","28.898","33.354"
"MAK","Winter",3.06,11.4,3.76,14.19,"-1e+10","35.231","31.165","35.586"
"OHK","Fall",11.25,29.21,6.22,15.59,"31.342","35.833","32.384","35.956"
"OHK","Spring",3.87,22.7,4.63,15.22,"-1e+10","36.579","-1e+10","35.845"
"OHK","Summer",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"OHK","Winter",4.56,18.84,6.34,14.79,"-1e+10","36.409","32.566","35.862"
"OPT","Fall",9.46,27.59,4.41,19.85,"27.587","35.017","31.187","35.688"
"OPT","Spring",1.66,12.74,1.27,13.64,"-1e+10","35.321","-1e+10","35.638"
"OPT","Summer",5.85,19.74,3.35,11.952,"30.57","32.366","31.551","34.741"
"OPT","Winter",1.3,10.1,1.44,14.01,"-1e+10","34.199","31.662","35.415"
"PLA","Fall",8.7,18.53,4.41,16.19,"-1e+10","34.176","31.208","35.56"
"PLA","Spring",1.21,12.74,1.35,10.84,"-1e+10","33.864","30.544","35.14"
"PLA","Summer",5.85,22.04,3.35,10.28,"30.545","32.366","31.119","34.741"
"PLA","Winter",2.476,9.76,3.32,11.57,"31.522","33.481","32.046","34.99"
"POL","Fall",9.12,22.84,4.77,17.14,"-1e+10","33.64","-1e+10","35.286"
"POL","Spring",1.21,12.25,2.18,11.23,"-1e+10","33.923","30.577","35.305"
"POL","Summer",5.85,20.97,3.35,8.883,"30.596","32.367","31.551","34.114"
"POL","Winter",2.552,10.96,2.78,12.14,"31.522","35.26","32.197","35.512"
"QHG","Fall",11.64,18.7199,7.48,13.05,"30.9983","32.321","32.453","33.277"
"QHG","Spring",6.26,9.75,3.77,8.36,"31.507","33.085","32.046","34.185"
"QHG","Summer",Inf,-Inf,7.1,7.1,"NA","NA","32.198","32.198"
"QHG","Winter",8.72,8.72,9.47,9.47,"33.751","33.751","34.1","34.1"
"RED","Fall",8.7,22.29,4.55,14.72,"-1e+10","34.783","31.759","35.58"
"RED","Spring",1.68,12.25,2.34,11.23,"-1e+10","33.923","31.43","35.286"
"RED","Summer",10.26,20.24,3.35,9.69,"30.57","32.367","31.943","35.008"
"RED","Winter",8.88,9.76,8.03,9.02,"32.361","33.332","32.197","34.161"
"RHK","Fall",8.7,27.59,4.41,22.0707,"-1e+10","35.819","-1e+10","35.956"
"RHK","Spring",1.64,20.12,1.71,16.55,"-1e+10","36.43","-1e+10","35.845"
"RHK","Summer",5.85,22.3124,3.35,21.75,"25.2718","32.367","27.3438","34.741"
"RHK","Winter",1.21,19.75,1.74,17.64,"-1e+10","36.466","-1e+10","36.312"
"SAL","Spring",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"SAL","Winter",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"SCU","Fall",9.49,29.23,7.75,28.33,"-1e+10","36.338","-1e+10","36.5"
"SCU","Spring",4.25,23.69,4.12,20.88,"-1e+10","36.448","26.2028","36.454"
"SCU","Summer",16.67,24.94985,8.883,22.4753,"8.5465","32.13","21.6008","33.708"
"SCU","Winter",4.63,20.27,4.15,18.26,"-1e+10","36.478","30.907","36.365"
"SDF","Fall",22.92,22.92,9.38,14.08,"34.645","34.645","35.175","35.505"
"SDF","Spring",6.05,8.83,5.33,10.76,"22.05","32.586","26.995","34.608"
"SDF","Summer",Inf,-Inf,Inf,-Inf,"NA","NA","NA","NA"
"SDF","Winter",6.24,8.22,5.92,12.79,"32.683","33.624","32.703","35.243"
"SHK","Fall",7.93,29.21,4.41,24.46,"-1e+10","36.061","-1e+10","35.956"
"SHK","Spring",1.21,22.01,1.8,16.42,"-1e+10","36.578","-1e+10","36.2"
"SHK","Summer",5.85,25.05,3.35,16.2028,"25.2718","32.367","27.3438","35.008"
"SHK","Winter",1.3,19.02,1.74,15.9,"-1e+10","36.362","-1e+10","36.043"
"SK","Fall",8.7,29.76,4.55,27.5,"-1e+10","36.359","-1e+10","36.5"
"SK","Spring",1.17,24.12,2.18,20.73,"-1e+10","36.579","-1e+10","36.464"
"SK","Summer",10.26,25.05,3.35,21.75,"28.68","32.367","27.143","34.818"
"SK","Winter",2.292,20.27,3.32,18.26,"-1e+10","36.478","30.907","36.365"
"SUF","Fall",10.52,29.4,7.59,28.22,"-1e+10","36.34","-1e+10","36.426"
"SUF","Spring",2.83,23.69,1.8,20.73,"-1e+10","36.558","-1e+10","36.554"
"SUF","Summer",16.67,24.94985,8.883,22.12113,"26.68","32.13","27.143","33.1385"
"SUF","Winter",1.55,19.47,1.74,18.26,"-1e+10","36.478","-1e+10","36.365"
"TAU","Fall",11.19,23.81,10.51,23.03,"-1e+10","32.293","-1e+10","32.896"
"TAU","Spring",2.89,12.646,2.84,11.3311,"-1e+10","32.417","26.2028","33.353"
"TAU","Summer",20.8718,24.94985,16.0121,22.4753,"27.0051","30.57576","27.2897","31.25076"
"TAU","Winter",3.42,7.96,3.24,8.91,"31.986","33.582","31.911","33.818"
"TYL","Fall",23.18,28.51,7.95,17.95,"30.846","33.737","33.118","36.359"
"TYL","Spring",6.42,12.84,8.91,13.83,"32.903","35.773","33.941","35.719"
"TYL","Winter",17.35,18.62,12.07,15.16,"-1e+10","36.407","35.5","35.965"
"WHK","Fall",8.7,26.68,4.41,18.01,"-1e+10","35.819","31.264","35.646"
"WHK","Spring",1.64,16.97,2.92,15.22,"-1e+10","35.83","29.206","35.845"
"WHK","Summer",5.85,22.1631,3.35,13.956,"16.9258","32.367","30.7359","34.741"
"WHK","Winter",3.15,18.84,4.32,13.82,"-1e+10","36.409","32.34","35.59"
"WIF","Fall",8.88,24.47,4.95,23.12,"-1e+10","35.209","-1e+10","35.024"
"WIF","Spring",1.64,13.17,1.23,11.3311,"-1e+10","33.923","-1e+10","35.187"
"WIF","Summer",5.85,23.61,4.58,22.4753,"16.9258","32.267","27.2897","33.708"
"WIF","Winter",0.88,9.24,0.32,9.23,"-1e+10","33.962","30.18","34.302"
"WPF","Fall",9.18,28.58,6.1,26.7,"-1e+10","35.772","-1e+10","35.331"
"WPF","Spring",1.41,19.16,1.71,16.679,"-1e+10","36.089","-1e+10","35.587"
"WPF","Summer",13.59,23.61,5.93,21.75,"25.2718","32.13","27.143","33.708"
"WPF","Winter",0.88,10.36,0.32,10.95,"-1e+10","35.281","-1e+10","35.182"
"WSK","Fall",8.7,23.77,5.15,21.88,"-1e+10","35.819","-1e+10","35.764"
"WSK","Spring",1.17,19.16,1.27,14.85,"-1e+10","36.089","-1e+10","35.73"
"WSK","Summer",13.28,19.74,6.13,13.47,"30.695","30.988","31.501","33.708"
"WSK","Winter",0.88,12.39,0.32,13.43,"-1e+10","35.169","30.18","35.452"
"WTF","Fall",8.7,27.17,4.41,18.33,"-1e+10","35.627","31.536","35.894"
"WTF","Spring",2.02,19.16,2.34,13.77,"-1e+10","36.406","-1e+10","35.73"
"WTF","Summer",5.85,20.24,3.35,10.17,"30.57","32.367","31.91","34.741"
"WTF","Winter",1.55,18.84,2.09,14.46,"-1e+10","36.409","31.61","35.854"
"YTF","Fall",9.06,25.21,4.72,20.02,"20.615","35.772","31.045","35.464"
"YTF","Spring",1.17,13.17,1.98,14.15,"-1e+10","35.328","-1e+10","35.645"
"YTF","Summer",10.47,22.04,4.58,11.952,"30.545","32.366","31.551","32.896"
"YTF","Winter",1.21,9.24,0.32,11.57,"-1e+10","34.067","-1e+10","34.99"
